¿œ¿⁄,ºˆ∑Æ,º“∫–∑˘
2021-03-22,60,≈∫ªÍ¿Ω∑·
2021-03-22,240,≈∫ªÍ¿Ω∑·
2021-03-22,240,≈∫ªÍ¿Ω∑·
2021-03-22,264,≈∫ªÍ¿Ω∑·
2021-03-22,264,≈∫ªÍ¿Ω∑·
2021-03-22,480,≈∫ªÍ¿Ω∑·
2021-03-23,120,≈∫ªÍ¿Ω∑·
2021-03-23,930,≈∫ªÍ¿Ω∑·
2021-03-25,114,≈∫ªÍ¿Ω∑·
2021-03-25,300,≈∫ªÍ¿Ω∑·
2021-03-26,120,≈∫ªÍ¿Ω∑·
2021-03-27,60,≈∫ªÍ¿Ω∑·
2021-03-29,120,≈∫ªÍ¿Ω∑·
2021-03-29,720,≈∫ªÍ¿Ω∑·
2021-03-29,720,≈∫ªÍ¿Ω∑·
2021-03-29,240,≈∫ªÍ¿Ω∑·
2021-04-01,528,≈∫ªÍ¿Ω∑·
2021-04-01,24,≈∫ªÍ¿Ω∑·
2021-04-02,264,≈∫ªÍ¿Ω∑·
2021-04-05,120,≈∫ªÍ¿Ω∑·
2021-04-05,-1,≈∫ªÍ¿Ω∑·
2021-04-05,-8,≈∫ªÍ¿Ω∑·
2021-04-05,3030,≈∫ªÍ¿Ω∑·
2021-04-05,120,≈∫ªÍ¿Ω∑·
2021-04-05,400,≈∫ªÍ¿Ω∑·
2021-04-06,240,≈∫ªÍ¿Ω∑·
2021-04-06,480,≈∫ªÍ¿Ω∑·
2021-04-06,72,≈∫ªÍ¿Ω∑·
2021-04-06,120,≈∫ªÍ¿Ω∑·
2021-04-07,-60,≈∫ªÍ¿Ω∑·
2021-04-07,-60,≈∫ªÍ¿Ω∑·
2021-04-07,-24,≈∫ªÍ¿Ω∑·
2021-04-07,120,≈∫ªÍ¿Ω∑·
2021-04-07,-72,≈∫ªÍ¿Ω∑·
2021-04-07,-48,≈∫ªÍ¿Ω∑·
2021-04-07,-72,≈∫ªÍ¿Ω∑·
2021-04-07,-72,≈∫ªÍ¿Ω∑·
2021-04-08,120,≈∫ªÍ¿Ω∑·
2021-04-08,300,≈∫ªÍ¿Ω∑·
2021-04-08,300,≈∫ªÍ¿Ω∑·
2021-04-08,-12,≈∫ªÍ¿Ω∑·
2021-04-08,-14,≈∫ªÍ¿Ω∑·
2021-04-09,120,≈∫ªÍ¿Ω∑·
2021-04-09,180,≈∫ªÍ¿Ω∑·
2021-04-09,240,≈∫ªÍ¿Ω∑·
2021-04-09,480,≈∫ªÍ¿Ω∑·
2021-04-09,240,≈∫ªÍ¿Ω∑·
2021-04-09,300,≈∫ªÍ¿Ω∑·
2021-04-09,636,≈∫ªÍ¿Ω∑·
2021-04-09,420,≈∫ªÍ¿Ω∑·
2021-04-09,120,≈∫ªÍ¿Ω∑·
2021-04-09,1080,≈∫ªÍ¿Ω∑·
2021-04-10,120,≈∫ªÍ¿Ω∑·
2021-04-10,120,≈∫ªÍ¿Ω∑·
2021-04-12,60,≈∫ªÍ¿Ω∑·
2021-04-13,528,≈∫ªÍ¿Ω∑·
2021-04-13,120,≈∫ªÍ¿Ω∑·
2021-04-13,360,≈∫ªÍ¿Ω∑·
2021-04-13,120,≈∫ªÍ¿Ω∑·
2021-04-13,360,≈∫ªÍ¿Ω∑·
2021-04-13,360,≈∫ªÍ¿Ω∑·
2021-04-13,-12,≈∫ªÍ¿Ω∑·
2021-04-16,240,≈∫ªÍ¿Ω∑·
2021-04-16,720,≈∫ªÍ¿Ω∑·
2021-04-16,60,≈∫ªÍ¿Ω∑·
2021-04-16,720,≈∫ªÍ¿Ω∑·
2021-04-16,480,≈∫ªÍ¿Ω∑·
2021-04-16,240,≈∫ªÍ¿Ω∑·
2021-04-19,600,≈∫ªÍ¿Ω∑·
2021-04-19,120,≈∫ªÍ¿Ω∑·
2021-04-19,240,≈∫ªÍ¿Ω∑·
2021-04-20,552,≈∫ªÍ¿Ω∑·
2021-04-20,240,≈∫ªÍ¿Ω∑·
2021-04-20,408,≈∫ªÍ¿Ω∑·
2021-04-20,720,≈∫ªÍ¿Ω∑·
2021-04-20,-2,≈∫ªÍ¿Ω∑·
2021-04-20,456,≈∫ªÍ¿Ω∑·
2021-04-20,720,≈∫ªÍ¿Ω∑·
2021-04-20,-1,≈∫ªÍ¿Ω∑·
2021-04-21,200,≈∫ªÍ¿Ω∑·
2021-04-21,360,≈∫ªÍ¿Ω∑·
2021-04-21,-18,≈∫ªÍ¿Ω∑·
2021-04-26,240,≈∫ªÍ¿Ω∑·
2021-04-30,120,≈∫ªÍ¿Ω∑·
2021-04-30,300,≈∫ªÍ¿Ω∑·
2021-04-30,720,≈∫ªÍ¿Ω∑·
2021-04-30,240,≈∫ªÍ¿Ω∑·
2021-05-03,300,≈∫ªÍ¿Ω∑·
2021-05-03,240,≈∫ªÍ¿Ω∑·
2021-05-03,1152,≈∫ªÍ¿Ω∑·
2021-05-03,240,≈∫ªÍ¿Ω∑·
2021-05-03,240,≈∫ªÍ¿Ω∑·
2021-05-03,600,≈∫ªÍ¿Ω∑·
2021-05-03,120,≈∫ªÍ¿Ω∑·
2021-05-03,360,≈∫ªÍ¿Ω∑·
2021-05-04,528,≈∫ªÍ¿Ω∑·
2021-05-04,300,≈∫ªÍ¿Ω∑·
2021-05-04,636,≈∫ªÍ¿Ω∑·
2021-05-04,420,≈∫ªÍ¿Ω∑·
2021-05-04,300,≈∫ªÍ¿Ω∑·
2021-05-04,300,≈∫ªÍ¿Ω∑·
2021-05-04,60,≈∫ªÍ¿Ω∑·
2021-05-05,300,≈∫ªÍ¿Ω∑·
2021-05-06,480,≈∫ªÍ¿Ω∑·
2021-05-06,720,≈∫ªÍ¿Ω∑·
2021-05-10,60,≈∫ªÍ¿Ω∑·
2021-05-10,240,≈∫ªÍ¿Ω∑·
2021-05-10,-576,≈∫ªÍ¿Ω∑·
2021-05-10,-180,≈∫ªÍ¿Ω∑·
2021-05-11,528,≈∫ªÍ¿Ω∑·
2021-05-11,60,≈∫ªÍ¿Ω∑·
2021-05-11,-13,≈∫ªÍ¿Ω∑·
2021-05-11,30,≈∫ªÍ¿Ω∑·
2021-05-11,480,≈∫ªÍ¿Ω∑·
2021-05-11,-1,≈∫ªÍ¿Ω∑·
2021-05-11,-270,≈∫ªÍ¿Ω∑·
2021-05-11,-11,≈∫ªÍ¿Ω∑·
2021-05-12,600,≈∫ªÍ¿Ω∑·
2021-05-12,900,≈∫ªÍ¿Ω∑·
2021-05-14,480,≈∫ªÍ¿Ω∑·
2021-05-17,120,≈∫ªÍ¿Ω∑·
2021-05-17,960,≈∫ªÍ¿Ω∑·
2021-05-18,1152,≈∫ªÍ¿Ω∑·
2021-05-18,60,≈∫ªÍ¿Ω∑·
2021-05-18,480,≈∫ªÍ¿Ω∑·
2021-05-20,720,≈∫ªÍ¿Ω∑·
2021-05-20,300,≈∫ªÍ¿Ω∑·
2021-05-20,720,≈∫ªÍ¿Ω∑·
2021-05-20,240,≈∫ªÍ¿Ω∑·
2021-05-20,240,≈∫ªÍ¿Ω∑·
2021-05-20,600,≈∫ªÍ¿Ω∑·
2021-05-20,720,≈∫ªÍ¿Ω∑·
2021-05-20,120,≈∫ªÍ¿Ω∑·
2021-05-24,300,≈∫ªÍ¿Ω∑·
2021-05-25,2970,≈∫ªÍ¿Ω∑·
2021-05-25,300,≈∫ªÍ¿Ω∑·
2021-05-25,120,≈∫ªÍ¿Ω∑·
2021-05-25,60,≈∫ªÍ¿Ω∑·
2021-05-25,-9,≈∫ªÍ¿Ω∑·
2021-05-25,-2,≈∫ªÍ¿Ω∑·
2021-05-28,720,≈∫ªÍ¿Ω∑·
2021-05-28,200,≈∫ªÍ¿Ω∑·
2021-05-31,240,≈∫ªÍ¿Ω∑·
2021-06-01,144,≈∫ªÍ¿Ω∑·
2021-06-01,216,≈∫ªÍ¿Ω∑·
2021-06-01,1008,≈∫ªÍ¿Ω∑·
2021-06-01,750,≈∫ªÍ¿Ω∑·
2021-06-01,48,≈∫ªÍ¿Ω∑·
2021-06-01,-10,≈∫ªÍ¿Ω∑·
2021-06-01,180,≈∫ªÍ¿Ω∑·
2021-06-01,-12,≈∫ªÍ¿Ω∑·
2021-06-02,480,≈∫ªÍ¿Ω∑·
2021-06-02,20,≈∫ªÍ¿Ω∑·
2021-06-02,600,≈∫ªÍ¿Ω∑·
2021-06-02,660,≈∫ªÍ¿Ω∑·
2021-06-02,420,≈∫ªÍ¿Ω∑·
2021-06-02,60,≈∫ªÍ¿Ω∑·
2021-06-02,990,≈∫ªÍ¿Ω∑·
2021-06-04,200,≈∫ªÍ¿Ω∑·
2021-06-04,240,≈∫ªÍ¿Ω∑·
2021-06-07,300,≈∫ªÍ¿Ω∑·
2021-06-07,60,≈∫ªÍ¿Ω∑·
2021-06-07,600,≈∫ªÍ¿Ω∑·
2021-06-07,300,≈∫ªÍ¿Ω∑·
2021-06-07,60,≈∫ªÍ¿Ω∑·
2021-06-08,1290,≈∫ªÍ¿Ω∑·
2021-06-08,240,≈∫ªÍ¿Ω∑·
2021-06-08,240,≈∫ªÍ¿Ω∑·
2021-06-08,240,≈∫ªÍ¿Ω∑·
2021-06-08,72,≈∫ªÍ¿Ω∑·
2021-06-08,-20,≈∫ªÍ¿Ω∑·
2021-06-09,720,≈∫ªÍ¿Ω∑·
2021-06-09,720,≈∫ªÍ¿Ω∑·
2021-06-09,990,≈∫ªÍ¿Ω∑·
2021-06-10,300,≈∫ªÍ¿Ω∑·
2021-06-10,300,≈∫ªÍ¿Ω∑·
2021-06-17,528,≈∫ªÍ¿Ω∑·
2021-06-17,720,≈∫ªÍ¿Ω∑·
2021-06-17,240,≈∫ªÍ¿Ω∑·
2021-06-17,120,≈∫ªÍ¿Ω∑·
2021-06-17,120,≈∫ªÍ¿Ω∑·
2021-06-17,660,≈∫ªÍ¿Ω∑·
2021-06-17,240,≈∫ªÍ¿Ω∑·
2021-06-18,720,≈∫ªÍ¿Ω∑·
2021-06-21,480,≈∫ªÍ¿Ω∑·
2021-06-21,720,≈∫ªÍ¿Ω∑·
2021-06-21,400,≈∫ªÍ¿Ω∑·
2021-06-21,-24,≈∫ªÍ¿Ω∑·
2021-06-22,600,≈∫ªÍ¿Ω∑·
2021-06-22,450,≈∫ªÍ¿Ω∑·
2021-06-22,600,≈∫ªÍ¿Ω∑·
2021-06-22,450,≈∫ªÍ¿Ω∑·
2021-06-22,120,≈∫ªÍ¿Ω∑·
2021-06-22,-60,≈∫ªÍ¿Ω∑·
2021-06-23,330,≈∫ªÍ¿Ω∑·
2021-06-23,200,≈∫ªÍ¿Ω∑·
2021-06-23,360,≈∫ªÍ¿Ω∑·
2021-06-23,990,≈∫ªÍ¿Ω∑·
2021-06-23,-5,≈∫ªÍ¿Ω∑·
2021-06-24,480,≈∫ªÍ¿Ω∑·
2021-06-24,120,≈∫ªÍ¿Ω∑·
2021-06-24,-24,≈∫ªÍ¿Ω∑·
2021-06-24,264,≈∫ªÍ¿Ω∑·
2021-06-24,240,≈∫ªÍ¿Ω∑·
2021-06-24,600,≈∫ªÍ¿Ω∑·
2021-06-24,-36,≈∫ªÍ¿Ω∑·
2021-06-25,420,≈∫ªÍ¿Ω∑·
2021-06-29,120,≈∫ªÍ¿Ω∑·
2021-06-29,480,≈∫ªÍ¿Ω∑·
2021-07-01,504,≈∫ªÍ¿Ω∑·
2021-07-01,1128,≈∫ªÍ¿Ω∑·
2021-07-01,24,≈∫ªÍ¿Ω∑·
2021-07-01,120,≈∫ªÍ¿Ω∑·
2021-07-01,60,≈∫ªÍ¿Ω∑·
2021-07-01,264,≈∫ªÍ¿Ω∑·
2021-07-03,-120,≈∫ªÍ¿Ω∑·
2021-07-05,720,≈∫ªÍ¿Ω∑·
2021-07-05,320,≈∫ªÍ¿Ω∑·
2021-07-05,1290,≈∫ªÍ¿Ω∑·
2021-07-05,240,≈∫ªÍ¿Ω∑·
2021-07-05,600,≈∫ªÍ¿Ω∑·
2021-07-05,1272,≈∫ªÍ¿Ω∑·
2021-07-05,420,≈∫ªÍ¿Ω∑·
2021-07-05,120,≈∫ªÍ¿Ω∑·
2021-07-06,930,≈∫ªÍ¿Ω∑·
2021-07-08,120,≈∫ªÍ¿Ω∑·
2021-07-08,672,≈∫ªÍ¿Ω∑·
2021-07-08,240,≈∫ªÍ¿Ω∑·
2021-07-12,240,≈∫ªÍ¿Ω∑·
2021-07-13,150,≈∫ªÍ¿Ω∑·
2021-07-14,528,≈∫ªÍ¿Ω∑·
2021-07-14,3600,≈∫ªÍ¿Ω∑·
2021-07-14,-48,≈∫ªÍ¿Ω∑·
2021-07-14,-60,≈∫ªÍ¿Ω∑·
2021-07-14,-4,≈∫ªÍ¿Ω∑·
2021-07-15,240,≈∫ªÍ¿Ω∑·
2021-07-19,120,≈∫ªÍ¿Ω∑·
2021-07-20,-21,≈∫ªÍ¿Ω∑·
2021-07-20,510,≈∫ªÍ¿Ω∑·
2021-07-20,-24,≈∫ªÍ¿Ω∑·
2021-07-20,-3,≈∫ªÍ¿Ω∑·
2021-07-22,1344,≈∫ªÍ¿Ω∑·
2021-07-22,576,≈∫ªÍ¿Ω∑·
2021-07-23,552,≈∫ªÍ¿Ω∑·
2021-07-23,480,≈∫ªÍ¿Ω∑·
2021-07-23,480,≈∫ªÍ¿Ω∑·
2021-07-26,240,≈∫ªÍ¿Ω∑·
2021-07-28,720,≈∫ªÍ¿Ω∑·
2021-07-28,2112,≈∫ªÍ¿Ω∑·
2021-07-28,480,≈∫ªÍ¿Ω∑·
2021-07-31,810,≈∫ªÍ¿Ω∑·
2021-08-02,900,≈∫ªÍ¿Ω∑·
2021-08-02,480,≈∫ªÍ¿Ω∑·
2021-08-02,1290,≈∫ªÍ¿Ω∑·
2021-08-02,60,≈∫ªÍ¿Ω∑·
2021-08-02,600,≈∫ªÍ¿Ω∑·
2021-08-02,1152,≈∫ªÍ¿Ω∑·
2021-08-02,240,≈∫ªÍ¿Ω∑·
2021-08-02,240,≈∫ªÍ¿Ω∑·
2021-08-02,240,≈∫ªÍ¿Ω∑·
2021-08-02,300,≈∫ªÍ¿Ω∑·
2021-08-02,300,≈∫ªÍ¿Ω∑·
2021-08-02,120,≈∫ªÍ¿Ω∑·
2021-08-02,1392,≈∫ªÍ¿Ω∑·
2021-08-02,120,≈∫ªÍ¿Ω∑·
2021-08-04,528,≈∫ªÍ¿Ω∑·
2021-08-04,120,≈∫ªÍ¿Ω∑·
2021-08-04,60,≈∫ªÍ¿Ω∑·
2021-08-05,-30,≈∫ªÍ¿Ω∑·
2021-08-06,390,≈∫ªÍ¿Ω∑·
2021-08-10,300,≈∫ªÍ¿Ω∑·
2021-08-10,420,≈∫ªÍ¿Ω∑·
2021-08-11,60,≈∫ªÍ¿Ω∑·
2021-08-11,210,≈∫ªÍ¿Ω∑·
2021-08-12,528,≈∫ªÍ¿Ω∑·
2021-08-16,240,≈∫ªÍ¿Ω∑·
2021-08-16,240,≈∫ªÍ¿Ω∑·
2021-08-16,200,≈∫ªÍ¿Ω∑·
2021-08-16,200,≈∫ªÍ¿Ω∑·
2021-08-16,240,≈∫ªÍ¿Ω∑·
2021-08-16,240,≈∫ªÍ¿Ω∑·
2021-08-17,1152,≈∫ªÍ¿Ω∑·
2021-08-17,300,≈∫ªÍ¿Ω∑·
2021-08-17,120,≈∫ªÍ¿Ω∑·
2021-08-17,60,≈∫ªÍ¿Ω∑·
2021-08-18,480,≈∫ªÍ¿Ω∑·
2021-08-18,120,≈∫ªÍ¿Ω∑·
2021-08-18,240,≈∫ªÍ¿Ω∑·
2021-08-19,120,≈∫ªÍ¿Ω∑·
2021-08-19,60,≈∫ªÍ¿Ω∑·
2021-08-19,60,≈∫ªÍ¿Ω∑·
2021-08-20,528,≈∫ªÍ¿Ω∑·
2021-08-20,2880,≈∫ªÍ¿Ω∑·
2021-08-23,240,≈∫ªÍ¿Ω∑·
2021-08-23,240,≈∫ªÍ¿Ω∑·
2021-08-23,300,≈∫ªÍ¿Ω∑·
2021-08-23,300,≈∫ªÍ¿Ω∑·
2021-08-23,120,≈∫ªÍ¿Ω∑·
2021-08-23,120,≈∫ªÍ¿Ω∑·
2021-08-23,960,≈∫ªÍ¿Ω∑·
2021-08-23,300,≈∫ªÍ¿Ω∑·
2021-08-23,-17,≈∫ªÍ¿Ω∑·
2021-08-23,-12,≈∫ªÍ¿Ω∑·
2021-08-25,420,≈∫ªÍ¿Ω∑·
2021-08-30,240,≈∫ªÍ¿Ω∑·
2021-08-30,480,≈∫ªÍ¿Ω∑·
2021-08-30,600,≈∫ªÍ¿Ω∑·
2021-08-31,120,≈∫ªÍ¿Ω∑·
2021-08-31,120,≈∫ªÍ¿Ω∑·
2021-08-31,240,≈∫ªÍ¿Ω∑·
2021-08-31,120,≈∫ªÍ¿Ω∑·
2021-09-01,1008,≈∫ªÍ¿Ω∑·
2021-09-01,330,≈∫ªÍ¿Ω∑·
2021-09-01,180,≈∫ªÍ¿Ω∑·
2021-09-01,-8,≈∫ªÍ¿Ω∑·
2021-09-01,-1,≈∫ªÍ¿Ω∑·
2021-09-01,-1,≈∫ªÍ¿Ω∑·
2021-09-01,-30,≈∫ªÍ¿Ω∑·
2021-09-02,480,≈∫ªÍ¿Ω∑·
2021-09-02,-24,≈∫ªÍ¿Ω∑·
2021-09-02,360,≈∫ªÍ¿Ω∑·
2021-09-02,240,≈∫ªÍ¿Ω∑·
2021-09-02,480,≈∫ªÍ¿Ω∑·
2021-09-03,1200,≈∫ªÍ¿Ω∑·
2021-09-03,120,≈∫ªÍ¿Ω∑·
2021-09-06,600,≈∫ªÍ¿Ω∑·
2021-09-07,900,≈∫ªÍ¿Ω∑·
2021-09-07,480,≈∫ªÍ¿Ω∑·
2021-09-07,720,≈∫ªÍ¿Ω∑·
2021-09-07,-4,≈∫ªÍ¿Ω∑·
2021-09-07,-6,≈∫ªÍ¿Ω∑·
2021-09-08,60,≈∫ªÍ¿Ω∑·
2021-09-08,60,≈∫ªÍ¿Ω∑·
2021-09-09,480,≈∫ªÍ¿Ω∑·
2021-09-09,720,≈∫ªÍ¿Ω∑·
2021-09-09,720,≈∫ªÍ¿Ω∑·
2021-09-09,120,≈∫ªÍ¿Ω∑·
2021-09-10,480,≈∫ªÍ¿Ω∑·
2021-09-11,600,≈∫ªÍ¿Ω∑·
2021-09-13,600,≈∫ªÍ¿Ω∑·
2021-09-13,-132,≈∫ªÍ¿Ω∑·
2021-09-14,528,≈∫ªÍ¿Ω∑·
2021-09-14,1152,≈∫ªÍ¿Ω∑·
2021-09-14,60,≈∫ªÍ¿Ω∑·
2021-09-14,-3,≈∫ªÍ¿Ω∑·
2021-09-15,1890,≈∫ªÍ¿Ω∑·
2021-09-15,300,≈∫ªÍ¿Ω∑·
2021-09-15,420,≈∫ªÍ¿Ω∑·
2021-09-16,228,≈∫ªÍ¿Ω∑·
2021-09-16,120,≈∫ªÍ¿Ω∑·
2021-09-16,480,≈∫ªÍ¿Ω∑·
2021-09-16,132,≈∫ªÍ¿Ω∑·
2021-09-17,720,≈∫ªÍ¿Ω∑·
2021-09-23,480,≈∫ªÍ¿Ω∑·
2021-09-23,480,≈∫ªÍ¿Ω∑·
2021-09-24,528,≈∫ªÍ¿Ω∑·
2021-09-27,600,≈∫ªÍ¿Ω∑·
2021-09-29,720,≈∫ªÍ¿Ω∑·
2021-09-29,120,≈∫ªÍ¿Ω∑·
2021-09-29,200,≈∫ªÍ¿Ω∑·
2021-09-29,480,≈∫ªÍ¿Ω∑·
2021-09-29,-48,≈∫ªÍ¿Ω∑·
2021-09-29,480,≈∫ªÍ¿Ω∑·
2021-09-29,480,≈∫ªÍ¿Ω∑·
2021-09-30,264,≈∫ªÍ¿Ω∑·
2021-09-30,300,≈∫ªÍ¿Ω∑·
2021-10-01,168,≈∫ªÍ¿Ω∑·
2021-10-01,2970,≈∫ªÍ¿Ω∑·
2021-10-01,696,≈∫ªÍ¿Ω∑·
2021-10-05,800,≈∫ªÍ¿Ω∑·
2021-10-05,420,≈∫ªÍ¿Ω∑·
2021-10-06,528,≈∫ªÍ¿Ω∑·
2021-10-06,384,≈∫ªÍ¿Ω∑·
2021-10-06,480,≈∫ªÍ¿Ω∑·
2021-10-07,60,≈∫ªÍ¿Ω∑·
2021-10-07,720,≈∫ªÍ¿Ω∑·
2021-10-07,120,≈∫ªÍ¿Ω∑·
2021-10-07,900,≈∫ªÍ¿Ω∑·
2021-10-11,240,≈∫ªÍ¿Ω∑·
2021-10-11,528,≈∫ªÍ¿Ω∑·
2021-10-12,336,≈∫ªÍ¿Ω∑·
2021-10-12,60,≈∫ªÍ¿Ω∑·
2021-10-12,720,≈∫ªÍ¿Ω∑·
2021-10-14,400,≈∫ªÍ¿Ω∑·
2021-10-14,-6,≈∫ªÍ¿Ω∑·
2021-10-14,240,≈∫ªÍ¿Ω∑·
2021-10-15,528,≈∫ªÍ¿Ω∑·
2021-10-18,528,≈∫ªÍ¿Ω∑·
2021-10-18,240,≈∫ªÍ¿Ω∑·
2021-10-18,480,≈∫ªÍ¿Ω∑·
2021-10-18,150,≈∫ªÍ¿Ω∑·
2021-10-18,480,≈∫ªÍ¿Ω∑·
2021-10-18,480,≈∫ªÍ¿Ω∑·
2021-10-18,240,≈∫ªÍ¿Ω∑·
2021-10-18,528,≈∫ªÍ¿Ω∑·
2021-10-18,-24,≈∫ªÍ¿Ω∑·
2021-10-19,960,≈∫ªÍ¿Ω∑·
2021-10-19,360,≈∫ªÍ¿Ω∑·
2021-10-19,1296,≈∫ªÍ¿Ω∑·
2021-10-19,2112,≈∫ªÍ¿Ω∑·
2021-10-19,720,≈∫ªÍ¿Ω∑·
2021-10-19,240,≈∫ªÍ¿Ω∑·
2021-10-19,960,≈∫ªÍ¿Ω∑·
2021-10-19,1320,≈∫ªÍ¿Ω∑·
2021-10-20,780,≈∫ªÍ¿Ω∑·
2021-10-20,480,≈∫ªÍ¿Ω∑·
2021-10-25,768,≈∫ªÍ¿Ω∑·
2021-10-25,320,≈∫ªÍ¿Ω∑·
2021-10-25,-1,≈∫ªÍ¿Ω∑·
2021-10-25,-30,≈∫ªÍ¿Ω∑·
