연월,매입수량,매출수량,품목,폭염일수,한파일수,평균기온,평균일교차,강수량,CPI_라면,CPI_탄산,COVID_19,명절
2024-04-01,20134,1843,봉지라면,0.0,0.0,14.9,11.7,80.4,117.57,109.66,0,0
2024-05-01,21544,2732,봉지라면,0.0,0.0,17.7,12.2,117.6,117.36,111.61,0,0
2024-06-01,17116,2081,봉지라면,2.8,0.0,22.7,10.9,130.5,117.45,111.29,0,0
2024-07-01,16394,2263,봉지라면,4.3,0.0,26.2,6.6,380.8,116.39,115.27,0,0
2024-08-01,13046,1739,봉지라면,16.9,0.0,27.9,8.9,87.3,116.03,114.0,0,0
2024-09-01,17280,2649,봉지라면,6.0,0.0,24.7,8.7,241.0,117.97,108.81,0,1
2024-10-01,22392,2240,봉지라면,0.0,0.0,16.1,9.5,115.8,118.26,114.39,0,0
2024-11-01,16512,2458,봉지라면,0.0,0.0,9.7,10.7,59.6,119.02,118.37,0,0
2024-12-01,20498,2896,봉지라면,0.0,0.4,1.8,9.5,6.5,119.17,115.44,0,0
2021-01-01,16523,12266,탄산음료,0.0,5.5,-1.1,10.8,19.9,99.93,103.27,1,0
2021-02-01,15636,13890,탄산음료,0.0,0.4,3.4,11.6,20.1,99.79,103.79,1,1
2021-03-01,17424,18041,탄산음료,0.0,0.0,8.7,11.7,110.7,99.95,104.72,1,0
2021-04-01,20422,17251,탄산음료,0.0,0.0,13.2,12.0,76.3,99.3,105.91,1,0
2021-05-01,20954,16472,탄산음료,0.0,0.0,16.6,10.8,143.8,99.97,105.22,1,0
2021-06-01,24029,19005,탄산음료,0.1,0.0,21.7,9.2,91.6,100.5,104.55,1,0
2021-07-01,21946,21454,탄산음료,8.1,0.0,26.0,8.6,233.8,100.68,104.63,1,0
2021-08-01,22391,22228,탄산음료,3.5,0.0,24.8,7.7,288.4,100.74,102.58,1,0
2021-09-01,21843,17936,탄산음료,0.0,0.0,21.3,8.1,145.8,109.07,105.66,1,1
2021-10-01,24957,21035,탄산음료,0.0,0.0,15.1,10.8,53.9,110.03,106.31,1,0
2021-11-01,17168,16576,탄산음료,0.0,0.0,8.3,11.2,58.0,108.8,106.84,1,0
2021-12-01,10702,16202,탄산음료,0.0,1.3,1.9,10.5,7.2,108.87,109.1,1,0
2022-01-01,14139,15632,탄산음료,0.0,3.0,-0.8,11.0,2.6,110.26,109.7,1,0
2022-02-01,19634,12906,탄산음료,0.0,1.8,-0.1,11.1,3.5,110.62,110.16,1,1
2022-03-01,17796,16592,탄산음료,0.0,0.0,7.7,11.7,89.4,109.28,107.06,1,0
2022-04-01,25249,18607,탄산음료,0.0,0.0,13.8,12.9,59.4,109.05,111.57,1,0
2022-05-01,26742,19717,탄산음료,0.2,0.0,18.0,13.1,5.8,109.12,111.62,0,0
2022-06-01,24905,19336,탄산음료,1.6,0.0,22.4,8.9,184.7,108.87,114.52,0,0
2022-07-01,23952,19535,탄산음료,5.8,0.0,25.9,7.8,178.4,110.07,113.21,0,0
2022-08-01,26306,20899,탄산음료,2.9,0.0,25.3,7.0,311.5,109.96,111.98,0,0
2022-09-01,14584,16770,탄산음료,0.2,0.0,21.0,9.7,150.8,113.18,111.94,0,1
2022-10-01,24879,15743,탄산음료,0.0,0.0,14.0,11.2,77.6,123.94,112.43,0,0
2022-11-01,13520,13314,탄산음료,0.0,0.0,9.6,12.6,61.6,122.0,113.89,0,0
2022-12-01,14213,16750,탄산음료,0.0,3.5,-1.4,9.8,15.2,122.62,115.64,0,0
2023-01-01,18706,12119,탄산음료,0.0,3.4,-0.6,10.9,40.5,123.39,116.42,0,1
2023-02-01,22480,14642,탄산음료,0.0,0.1,2.5,11.3,15.2,124.69,113.88,0,0
2023-03-01,13292,14050,탄산음료,0.0,0.0,9.4,13.8,28.7,122.73,116.08,0,0
2023-04-01,24677,17169,탄산음료,0.0,0.0,13.1,12.0,66.3,123.84,114.09,0,0
2023-05-01,17834,19592,탄산음료,0.2,0.0,17.9,11.2,193.4,123.79,113.02,0,0
2023-06-01,21938,15680,탄산음료,0.9,0.0,22.3,9.5,210.0,123.67,116.08,0,0
2023-07-01,13166,13922,탄산음료,4.1,0.0,25.5,7.2,506.1,120.87,113.71,0,0
2023-08-01,19696,17784,탄산음료,9.0,0.0,26.4,8.0,299.6,120.33,116.34,0,0
2023-09-01,10203,11478,탄산음료,0.0,0.0,22.6,8.1,197.3,121.35,115.25,0,1
2023-10-01,13904,13104,탄산음료,0.0,0.0,14.7,11.5,17.0,120.69,116.41,0,0
2023-11-01,15602,11160,탄산음료,0.0,0.0,7.9,10.6,63.4,119.76,115.67,0,0
2023-12-01,8898,10820,탄산음료,0.0,1.8,2.4,9.4,102.9,118.92,114.06,0,0
2024-01-01,16933,14853,탄산음료,0.0,1.3,0.9,9.1,31.9,118.06,113.75,0,0
2024-02-01,11502,10183,탄산음료,0.0,0.1,4.1,8.8,103.3,118.76,113.2,0,1
2024-03-01,15713,14326,탄산음료,0.0,0.1,6.9,11.2,64.7,118.0,112.13,0,0
2024-04-01,17514,14278,탄산음료,0.0,0.0,14.9,11.7,80.4,117.57,109.66,0,0
2024-05-01,22976,18846,탄산음료,0.0,0.0,17.7,12.2,117.6,117.36,111.61,0,0
2024-06-01,23645,19070,탄산음료,2.8,0.0,22.7,10.9,130.5,117.45,111.29,0,0
2024-07-01,21942,16130,탄산음료,4.3,0.0,26.2,6.6,380.8,116.39,115.27,0,0
2024-08-01,13726,17766,탄산음료,16.9,0.0,27.9,8.9,87.3,116.03,114.0,0,0
2024-09-01,26075,20839,탄산음료,6.0,0.0,24.7,8.7,241.0,117.97,108.81,0,1
2024-10-01,22084,15336,탄산음료,0.0,0.0,16.1,9.5,115.8,118.26,114.39,0,0
2024-11-01,11693,14742,탄산음료,0.0,0.0,9.7,10.7,59.6,119.02,118.37,0,0
2024-12-01,7886,12336,탄산음료,0.0,0.4,1.8,9.5,6.5,119.17,115.44,0,0
