일자,수량,소분류
2021-03-05,800,봉지라면
2021-03-05,672,봉지라면
2021-03-08,800,봉지라면
2021-03-08,80,봉지라면
2021-03-08,40,봉지라면
2021-03-08,80,봉지라면
2021-03-09,80,봉지라면
2021-03-09,-1,봉지라면
2021-03-09,-48,봉지라면
2021-03-09,-1,봉지라면
2021-03-11,160,봉지라면
2021-03-11,400,봉지라면
2021-03-11,160,봉지라면
2021-03-11,160,봉지라면
2021-03-11,40,봉지라면
2021-03-12,560,봉지라면
2021-03-12,1680,봉지라면
2021-03-15,40,봉지라면
2021-03-15,-56,봉지라면
2021-03-15,96,봉지라면
2021-03-15,800,봉지라면
2021-03-15,160,봉지라면
2021-03-15,-16,봉지라면
2021-03-15,-8,봉지라면
2021-03-16,448,봉지라면
2021-03-16,1024,봉지라면
2021-03-16,800,봉지라면
2021-03-16,40,봉지라면
2021-03-17,288,봉지라면
2021-03-18,1680,봉지라면
2021-03-19,160,봉지라면
2021-03-19,160,봉지라면
2021-03-22,896,봉지라면
2021-03-22,400,봉지라면
2021-03-22,800,봉지라면
2021-03-22,-5,봉지라면
2021-03-22,-112,봉지라면
2021-03-23,800,봉지라면
2021-03-23,400,봉지라면
2021-03-23,400,봉지라면
2021-03-23,40,봉지라면
2021-03-23,80,봉지라면
2021-03-25,1600,봉지라면
2021-03-25,400,봉지라면
2021-03-26,80,봉지라면
2021-03-26,96,봉지라면
2021-03-27,96,봉지라면
2021-03-29,1200,봉지라면
2021-03-29,160,봉지라면
2021-03-29,320,봉지라면
2021-03-30,832,봉지라면
2021-03-31,1664,봉지라면
2021-03-31,-4,봉지라면
2021-03-31,-1,봉지라면
2021-03-31,-2,봉지라면
2021-03-31,-6,봉지라면
2021-03-31,-1,봉지라면
2021-03-31,-1,봉지라면
2021-04-01,40,봉지라면
2021-04-02,400,봉지라면
2021-04-02,80,봉지라면
2021-04-02,896,봉지라면
2021-04-02,448,봉지라면
2021-04-02,800,봉지라면
2021-04-02,-16,봉지라면
2021-04-05,400,봉지라면
2021-04-05,400,봉지라면
2021-04-05,80,봉지라면
2021-04-05,80,봉지라면
2021-04-06,896,봉지라면
2021-04-06,400,봉지라면
2021-04-06,40,봉지라면
2021-04-06,240,봉지라면
2021-04-06,40,봉지라면
2021-04-06,40,봉지라면
2021-04-06,192,봉지라면
2021-04-07,8,봉지라면
2021-04-08,40,봉지라면
2021-04-08,896,봉지라면
2021-04-08,160,봉지라면
2021-04-08,320,봉지라면
2021-04-08,-32,봉지라면
2021-04-08,-16,봉지라면
2021-04-10,800,봉지라면
2021-04-12,80,봉지라면
2021-04-12,40,봉지라면
2021-04-12,40,봉지라면
2021-04-13,616,봉지라면
2021-04-13,800,봉지라면
2021-04-13,240,봉지라면
2021-04-13,160,봉지라면
2021-04-15,40,봉지라면
2021-04-15,800,봉지라면
2021-04-15,320,봉지라면
2021-04-15,40,봉지라면
2021-04-15,1600,봉지라면
2021-04-15,480,봉지라면
2021-04-15,-4,봉지라면
2021-04-16,400,봉지라면
2021-04-16,-3,봉지라면
2021-04-16,-2,봉지라면
2021-04-16,80,봉지라면
2021-04-16,-4,봉지라면
2021-04-19,896,봉지라면
2021-04-19,400,봉지라면
2021-04-19,400,봉지라면
2021-04-19,-8,봉지라면
2021-04-20,80,봉지라면
2021-04-20,400,봉지라면
2021-04-20,800,봉지라면
2021-04-20,-2,봉지라면
2021-04-21,40,봉지라면
2021-04-21,40,봉지라면
2021-04-21,80,봉지라면
2021-04-21,40,봉지라면
2021-04-21,96,봉지라면
2021-04-21,800,봉지라면
2021-04-22,400,봉지라면
2021-04-22,400,봉지라면
2021-04-23,800,봉지라면
2021-04-23,800,봉지라면
2021-04-23,800,봉지라면
2021-04-23,400,봉지라면
2021-04-23,160,봉지라면
2021-04-23,800,봉지라면
2021-04-23,40,봉지라면
2021-04-23,32,봉지라면
2021-04-24,1200,봉지라면
2021-04-26,384,봉지라면
2021-04-26,896,봉지라면
2021-04-27,40,봉지라면
2021-04-30,1600,봉지라면
2021-04-30,160,봉지라면
2021-04-30,448,봉지라면
2021-05-03,240,봉지라면
2021-05-06,896,봉지라면
2021-05-06,80,봉지라면
2021-05-07,160,봉지라면
2021-05-08,80,봉지라면
2021-05-10,48,봉지라면
2021-05-10,1600,봉지라면
2021-05-10,160,봉지라면
2021-05-11,1200,봉지라면
2021-05-12,896,봉지라면
2021-05-12,800,봉지라면
2021-05-13,320,봉지라면
2021-05-13,100,봉지라면
2021-05-13,240,봉지라면
2021-05-13,480,봉지라면
2021-05-13,-13,봉지라면
2021-05-13,80,봉지라면
2021-05-13,384,봉지라면
2021-05-13,-2,봉지라면
2021-05-13,-16,봉지라면
2021-05-13,-1,봉지라면
2021-05-13,-1,봉지라면
2021-05-14,40,봉지라면
2021-05-17,800,봉지라면
2021-05-17,800,봉지라면
2021-05-17,160,봉지라면
2021-05-17,80,봉지라면
2021-05-19,40,봉지라면
2021-05-19,-2,봉지라면
2021-05-20,40,봉지라면
2021-05-20,40,봉지라면
2021-05-20,-17,봉지라면
2021-05-20,-4,봉지라면
2021-05-20,-3,봉지라면
2021-05-20,80,봉지라면
2021-05-21,400,봉지라면
2021-05-21,800,봉지라면
2021-05-22,800,봉지라면
2021-05-22,-8,봉지라면
2021-05-22,-8,봉지라면
2021-05-22,240,봉지라면
2021-05-22,-1,봉지라면
2021-05-22,-6,봉지라면
2021-05-24,800,봉지라면
2021-05-24,48,봉지라면
2021-05-24,400,봉지라면
2021-05-25,400,봉지라면
2021-05-25,2000,봉지라면
2021-05-25,40,봉지라면
2021-05-25,-16,봉지라면
2021-05-25,-3,봉지라면
2021-05-27,2496,봉지라면
2021-05-31,160,봉지라면
2021-05-31,80,봉지라면
2021-06-02,1664,봉지라면
2021-06-03,1120,봉지라면
2021-06-03,448,봉지라면
2021-06-04,96,봉지라면
2021-06-04,-16,봉지라면
2021-06-04,-1,봉지라면
2021-06-04,96,봉지라면
2021-06-04,-1,봉지라면
2021-06-04,-1,봉지라면
2021-06-05,160,봉지라면
2021-06-07,400,봉지라면
2021-06-08,800,봉지라면
2021-06-09,896,봉지라면
2021-06-09,560,봉지라면
2021-06-09,560,봉지라면
2021-06-09,40,봉지라면
2021-06-09,448,봉지라면
2021-06-10,800,봉지라면
2021-06-10,100,봉지라면
2021-06-10,240,봉지라면
2021-06-10,-8,봉지라면
2021-06-12,80,봉지라면
2021-06-14,800,봉지라면
2021-06-14,320,봉지라면
2021-06-15,40,봉지라면
2021-06-16,800,봉지라면
2021-06-16,-32,봉지라면
2021-06-16,800,봉지라면
2021-06-16,-16,봉지라면
2021-06-16,-32,봉지라면
2021-06-17,240,봉지라면
2021-06-18,80,봉지라면
2021-06-19,-128,봉지라면
2021-06-19,288,봉지라면
2021-06-21,896,봉지라면
2021-06-21,160,봉지라면
2021-06-22,800,봉지라면
2021-06-22,80,봉지라면
2021-06-22,400,봉지라면
2021-06-22,40,봉지라면
2021-06-22,40,봉지라면
2021-06-22,40,봉지라면
2021-06-25,400,봉지라면
2021-06-25,40,봉지라면
2021-06-25,560,봉지라면
2021-06-25,448,봉지라면
2021-06-28,88,봉지라면
2021-06-28,-24,봉지라면
2021-06-28,-4,봉지라면
2021-06-28,-1,봉지라면
2021-06-28,80,봉지라면
2021-06-28,-4,봉지라면
2021-06-28,-2,봉지라면
2021-06-30,40,봉지라면
2021-06-30,800,봉지라면
2021-06-30,40,봉지라면
2021-06-30,80,봉지라면
2021-06-30,40,봉지라면
2021-07-01,384,봉지라면
2021-07-01,896,봉지라면
2021-07-01,-8,봉지라면
2021-07-01,-280,봉지라면
2021-07-02,40,봉지라면
2021-07-02,-2,봉지라면
2021-07-02,-1,봉지라면
2021-07-02,40,봉지라면
2021-07-02,40,봉지라면
2021-07-02,-1,봉지라면
2021-07-05,88,봉지라면
2021-07-05,-8,봉지라면
2021-07-05,80,봉지라면
2021-07-05,-3,봉지라면
2021-07-05,-13,봉지라면
2021-07-05,-3,봉지라면
2021-07-05,-8,봉지라면
2021-07-06,800,봉지라면
2021-07-06,448,봉지라면
2021-07-07,800,봉지라면
2021-07-07,40,봉지라면
2021-07-07,80,봉지라면
2021-07-07,40,봉지라면
2021-07-07,-8,봉지라면
2021-07-07,-2,봉지라면
2021-07-07,-32,봉지라면
2021-07-09,160,봉지라면
2021-07-09,448,봉지라면
2021-07-12,80,봉지라면
2021-07-13,2048,봉지라면
2021-07-15,80,봉지라면
2021-07-15,896,봉지라면
2021-07-15,1600,봉지라면
2021-07-15,160,봉지라면
2021-07-15,160,봉지라면
2021-07-15,160,봉지라면
2021-07-15,448,봉지라면
2021-07-15,448,봉지라면
2021-07-15,240,봉지라면
2021-07-15,40,봉지라면
2021-07-16,440,봉지라면
2021-07-17,800,봉지라면
2021-07-17,720,봉지라면
2021-07-17,1600,봉지라면
2021-07-17,1600,봉지라면
2021-07-19,800,봉지라면
2021-07-19,1600,봉지라면
2021-07-19,80,봉지라면
2021-07-19,-4,봉지라면
2021-07-20,80,봉지라면
2021-07-20,2400,봉지라면
2021-07-22,176,봉지라면
2021-07-22,448,봉지라면
2021-07-22,384,봉지라면
2021-07-22,400,봉지라면
2021-07-24,1600,봉지라면
2021-07-24,3200,봉지라면
2021-07-26,16,봉지라면
2021-07-26,80,봉지라면
2021-07-26,80,봉지라면
2021-07-26,160,봉지라면
2021-07-26,-24,봉지라면
2021-07-26,40,봉지라면
2021-07-26,40,봉지라면
2021-07-26,80,봉지라면
2021-07-27,80,봉지라면
2021-07-27,1344,봉지라면
2021-07-27,80,봉지라면
2021-07-28,-184,봉지라면
2021-07-28,-160,봉지라면
2021-07-28,400,봉지라면
2021-07-29,40,봉지라면
2021-07-30,384,봉지라면
2021-07-30,80,봉지라면
2021-07-30,384,봉지라면
2021-07-31,800,봉지라면
2021-08-02,56,봉지라면
2021-08-02,80,봉지라면
2021-08-02,560,봉지라면
2021-08-02,1120,봉지라면
2021-08-02,400,봉지라면
2021-08-03,1040,봉지라면
2021-08-03,2080,봉지라면
2021-08-04,240,봉지라면
2021-08-04,80,봉지라면
2021-08-04,-2,봉지라면
2021-08-04,-3,봉지라면
2021-08-04,-3,봉지라면
2021-08-04,-3,봉지라면
2021-08-04,-7,봉지라면
2021-08-04,-4,봉지라면
2021-08-04,-1,봉지라면
2021-08-05,240,봉지라면
2021-08-05,120,봉지라면
2021-08-05,60,봉지라면
2021-08-05,-8,봉지라면
2021-08-05,-2,봉지라면
2021-08-05,-2,봉지라면
2021-08-05,-48,봉지라면
2021-08-05,-5,봉지라면
2021-08-05,-4,봉지라면
2021-08-05,-2,봉지라면
2021-08-05,-8,봉지라면
2021-08-06,160,봉지라면
2021-08-06,448,봉지라면
2021-08-06,240,봉지라면
2021-08-06,448,봉지라면
2021-08-07,240,봉지라면
2021-08-07,160,봉지라면
2021-08-07,160,봉지라면
2021-08-09,320,봉지라면
2021-08-09,240,봉지라면
2021-08-09,560,봉지라면
2021-08-11,32,봉지라면
2021-08-11,16,봉지라면
2021-08-11,240,봉지라면
2021-08-11,320,봉지라면
2021-08-11,64,봉지라면
2021-08-11,40,봉지라면
2021-08-12,720,봉지라면
2021-08-12,160,봉지라면
2021-08-12,8,봉지라면
2021-08-12,24,봉지라면
2021-08-12,240,봉지라면
2021-08-13,240,봉지라면
2021-08-13,160,봉지라면
2021-08-13,200,봉지라면
2021-08-14,256,봉지라면
2021-08-14,172,봉지라면
2021-08-16,80,봉지라면
2021-08-17,176,봉지라면
2021-08-18,896,봉지라면
2021-08-18,896,봉지라면
2021-08-20,800,봉지라면
2021-08-20,40,봉지라면
2021-08-20,256,봉지라면
2021-08-21,80,봉지라면
2021-08-21,80,봉지라면
2021-08-21,80,봉지라면
2021-08-23,768,봉지라면
2021-08-23,1632,봉지라면
2021-08-23,-9,봉지라면
2021-08-23,-39,봉지라면
2021-08-23,-10,봉지라면
2021-08-23,240,봉지라면
2021-08-23,-3,봉지라면
2021-08-23,-32,봉지라면
2021-08-23,-3,봉지라면
2021-08-24,40,봉지라면
2021-08-24,400,봉지라면
2021-08-25,400,봉지라면
2021-08-25,100,봉지라면
2021-08-25,40,봉지라면
2021-08-25,-5,봉지라면
2021-08-25,-8,봉지라면
2021-08-25,80,봉지라면
2021-08-25,-1,봉지라면
2021-08-25,-1,봉지라면
2021-08-30,64,봉지라면
2021-08-31,1344,봉지라면
2021-09-01,800,봉지라면
2021-09-01,40,봉지라면
2021-09-01,-136,봉지라면
2021-09-02,80,봉지라면
2021-09-02,40,봉지라면
2021-09-02,80,봉지라면
2021-09-02,40,봉지라면
2021-09-03,896,봉지라면
2021-09-03,896,봉지라면
2021-09-06,88,봉지라면
2021-09-07,80,봉지라면
2021-09-07,800,봉지라면
2021-09-07,40,봉지라면
2021-09-07,80,봉지라면
2021-09-09,40,봉지라면
2021-09-09,-5,봉지라면
2021-09-09,-32,봉지라면
2021-09-09,-2,봉지라면
2021-09-09,-2,봉지라면
2021-09-10,40,봉지라면
2021-09-11,80,봉지라면
2021-09-14,400,봉지라면
2021-09-14,400,봉지라면
2021-09-14,40,봉지라면
2021-09-15,800,봉지라면
2021-09-15,-1,봉지라면
2021-09-15,-2,봉지라면
2021-09-15,80,봉지라면
2021-09-15,160,봉지라면
2021-09-15,-8,봉지라면
2021-09-15,-10,봉지라면
2021-09-15,-16,봉지라면
2021-09-15,-17,봉지라면
2021-09-16,160,봉지라면
2021-09-16,160,봉지라면
2021-09-16,160,봉지라면
2021-09-16,1200,봉지라면
2021-09-17,800,봉지라면
2021-09-17,-3,봉지라면
2021-09-17,-5,봉지라면
2021-09-17,-4,봉지라면
2021-09-17,-9,봉지라면
2021-09-18,80,봉지라면
2021-09-23,448,봉지라면
2021-09-23,40,봉지라면
2021-09-23,40,봉지라면
2021-09-23,168,봉지라면
2021-09-23,896,봉지라면
2021-09-23,896,봉지라면
2021-09-23,80,봉지라면
2021-09-24,800,봉지라면
2021-09-25,800,봉지라면
2021-09-25,1200,봉지라면
2021-09-25,80,봉지라면
2021-09-27,40,봉지라면
2021-09-27,80,봉지라면
2021-09-28,800,봉지라면
2021-09-28,40,봉지라면
2021-09-28,40,봉지라면
2021-09-30,896,봉지라면
2021-09-30,40,봉지라면
2021-09-30,800,봉지라면
2021-09-30,1792,봉지라면
2021-10-01,80,봉지라면
2021-10-01,40,봉지라면
2021-10-02,2400,봉지라면
2021-10-02,40,봉지라면
2021-10-02,40,봉지라면
2021-10-02,40,봉지라면
2021-10-05,400,봉지라면
2021-10-05,80,봉지라면
2021-10-06,80,봉지라면
2021-10-06,80,봉지라면
2021-10-06,896,봉지라면
2021-10-06,40,봉지라면
2021-10-06,40,봉지라면
2021-10-06,800,봉지라면
2021-10-06,80,봉지라면
2021-10-06,-1,봉지라면
2021-10-06,-3,봉지라면
2021-10-06,-6,봉지라면
2021-10-06,-14,봉지라면
2021-10-06,800,봉지라면
2021-10-06,40,봉지라면
2021-10-06,80,봉지라면
2021-10-06,80,봉지라면
2021-10-06,-2,봉지라면
2021-10-06,-6,봉지라면
2021-10-08,40,봉지라면
2021-10-08,40,봉지라면
2021-10-11,896,봉지라면
2021-10-11,264,봉지라면
2021-10-11,40,봉지라면
2021-10-11,448,봉지라면
2021-10-13,80,봉지라면
2021-10-13,448,봉지라면
2021-10-14,400,봉지라면
2021-10-14,100,봉지라면
2021-10-14,40,봉지라면
2021-10-14,-24,봉지라면
2021-10-14,-2,봉지라면
2021-10-14,-8,봉지라면
2021-10-14,-2,봉지라면
2021-10-14,160,봉지라면
2021-10-14,80,봉지라면
2021-10-15,80,봉지라면
2021-10-15,448,봉지라면
2021-10-15,80,봉지라면
2021-10-15,40,봉지라면
2021-10-16,400,봉지라면
2021-10-16,400,봉지라면
2021-10-16,80,봉지라면
2021-10-16,40,봉지라면
2021-10-16,1440,봉지라면
2021-10-18,400,봉지라면
2021-10-18,336,봉지라면
2021-10-18,-4,봉지라면
2021-10-18,-8,봉지라면
2021-10-18,408,봉지라면
2021-10-20,2240,봉지라면
2021-10-20,4480,봉지라면
2021-10-20,448,봉지라면
2021-10-20,448,봉지라면
2021-10-20,40,봉지라면
2021-10-20,40,봉지라면
2021-10-21,400,봉지라면
2021-10-21,400,봉지라면
2021-10-21,800,봉지라면
2021-10-21,800,봉지라면
2021-10-22,40,봉지라면
2021-10-22,-1,봉지라면
2021-10-22,-1,봉지라면
2021-10-23,40,봉지라면
2021-10-23,176,봉지라면
2021-10-25,400,봉지라면
2021-10-25,64,봉지라면
2021-10-26,600,봉지라면
2021-10-27,800,봉지라면
2021-10-27,40,봉지라면
2021-10-27,80,봉지라면
2021-10-28,800,봉지라면
2021-10-28,-8,봉지라면
2021-10-28,-8,봉지라면
2021-10-28,-24,봉지라면
2021-10-29,896,봉지라면
2021-10-30,800,봉지라면
2021-10-30,800,봉지라면
2021-11-01,80,봉지라면
2021-11-01,40,봉지라면
2021-11-02,100,봉지라면
2021-11-02,40,봉지라면
2021-11-02,40,봉지라면
2021-11-02,160,봉지라면
2021-11-03,1792,봉지라면
2021-11-03,896,봉지라면
2021-11-03,560,봉지라면
2021-11-03,1680,봉지라면
2021-11-03,-11,봉지라면
2021-11-03,-2,봉지라면
2021-11-03,792,봉지라면
2021-11-03,840,봉지라면
2021-11-03,40,봉지라면
2021-11-03,-6,봉지라면
2021-11-03,-3,봉지라면
2021-11-03,-24,봉지라면
2021-11-03,-16,봉지라면
2021-11-03,-4,봉지라면
2021-11-04,400,봉지라면
2021-11-04,400,봉지라면
2021-11-04,80,봉지라면
2021-11-04,400,봉지라면
2021-11-06,40,봉지라면
2021-11-06,200,봉지라면
2021-11-06,40,봉지라면
2021-11-09,40,봉지라면
2021-11-09,40,봉지라면
2021-11-09,80,봉지라면
2021-11-11,80,봉지라면
2021-11-11,400,봉지라면
2021-11-11,896,봉지라면
2021-11-11,400,봉지라면
2021-11-11,384,봉지라면
2021-11-11,240,봉지라면
2021-11-12,256,봉지라면
2021-11-12,448,봉지라면
2021-11-13,800,봉지라면
2021-11-15,64,봉지라면
2021-11-15,160,봉지라면
2021-11-15,160,봉지라면
2021-11-15,320,봉지라면
2021-11-15,80,봉지라면
2021-11-16,896,봉지라면
2021-11-16,320,봉지라면
2021-11-16,160,봉지라면
2021-11-16,160,봉지라면
2021-11-17,80,봉지라면
2021-11-17,-1,봉지라면
2021-11-17,-3,봉지라면
2021-11-17,-8,봉지라면
2021-11-17,-2,봉지라면
2021-11-18,1200,봉지라면
2021-11-18,400,봉지라면
2021-11-19,80,봉지라면
2021-11-19,-4,봉지라면
2021-11-19,40,봉지라면
2021-11-19,-2,봉지라면
2021-11-20,800,봉지라면
2021-11-20,80,봉지라면
2021-11-22,800,봉지라면
2021-11-23,-13,봉지라면
2021-11-24,400,봉지라면
2021-11-24,1200,봉지라면
2021-11-24,800,봉지라면
2021-11-24,896,봉지라면
2021-11-24,40,봉지라면
2021-11-24,40,봉지라면
2021-11-24,40,봉지라면
2021-11-24,896,봉지라면
2021-11-24,-1,봉지라면
2021-11-25,400,봉지라면
2021-11-25,800,봉지라면
2021-11-25,800,봉지라면
2021-11-26,240,봉지라면
2021-11-27,80,봉지라면
2021-11-27,88,봉지라면
2021-11-30,400,봉지라면
2021-11-30,80,봉지라면
2021-12-02,336,봉지라면
2021-12-02,80,봉지라면
2021-12-02,800,봉지라면
2021-12-02,448,봉지라면
2021-12-02,240,봉지라면
2021-12-02,160,봉지라면
2021-12-02,176,봉지라면
2021-12-03,560,봉지라면
2021-12-03,560,봉지라면
2021-12-04,800,봉지라면
2021-12-06,800,봉지라면
2021-12-06,120,봉지라면
2021-12-07,160,봉지라면
2021-12-07,80,봉지라면
2021-12-07,-8,봉지라면
2021-12-07,368,봉지라면
2021-12-07,448,봉지라면
2021-12-07,160,봉지라면
2021-12-07,-88,봉지라면
2021-12-07,-170,봉지라면
2021-12-08,800,봉지라면
2021-12-08,40,봉지라면
2021-12-08,40,봉지라면
2021-12-08,2400,봉지라면
2021-12-08,1200,봉지라면
2021-12-09,800,봉지라면
2021-12-09,1600,봉지라면
2021-12-09,85,봉지라면
2021-12-09,80,봉지라면
2021-12-09,80,봉지라면
2021-12-10,800,봉지라면
2021-12-10,800,봉지라면
2021-12-10,-8,봉지라면
2021-12-10,-1,봉지라면
2021-12-10,40,봉지라면
2021-12-10,160,봉지라면
2021-12-10,-16,봉지라면
2021-12-13,400,봉지라면
2021-12-13,800,봉지라면
2021-12-14,448,봉지라면
2021-12-15,-3,봉지라면
2021-12-15,40,봉지라면
2021-12-15,176,봉지라면
2021-12-15,-7,봉지라면
2021-12-17,800,봉지라면
2021-12-17,336,봉지라면
2021-12-17,800,봉지라면
2021-12-17,800,봉지라면
2021-12-17,-3,봉지라면
2021-12-17,408,봉지라면
2021-12-17,-26,봉지라면
2021-12-18,800,봉지라면
2021-12-20,400,봉지라면
2021-12-20,-56,봉지라면
2021-12-20,40,봉지라면
2021-12-21,100,봉지라면
2021-12-21,208,봉지라면
2021-12-21,24,봉지라면
2021-12-22,80,봉지라면
2021-12-22,800,봉지라면
2021-12-22,-5,봉지라면
2021-12-22,-5,봉지라면
2021-12-23,1560,봉지라면
2021-12-23,800,봉지라면
2021-12-23,1200,봉지라면
2021-12-24,800,봉지라면
2021-12-25,1440,봉지라면
2021-12-25,40,봉지라면
2021-12-27,80,봉지라면
2021-12-28,800,봉지라면
2021-12-29,512,봉지라면
2021-12-29,1680,봉지라면
2021-12-30,448,봉지라면
2021-12-30,896,봉지라면
2021-12-30,448,봉지라면
2021-12-30,448,봉지라면
2022-01-04,24,봉지라면
2022-01-04,80,봉지라면
2022-01-05,80,봉지라면
2022-01-06,448,봉지라면
2022-01-06,896,봉지라면
2022-01-06,400,봉지라면
2022-01-06,240,봉지라면
2022-01-06,40,봉지라면
2022-01-06,800,봉지라면
2022-01-06,40,봉지라면
2022-01-06,100,봉지라면
2022-01-06,40,봉지라면
2022-01-06,40,봉지라면
2022-01-06,448,봉지라면
2022-01-07,80,봉지라면
2022-01-07,240,봉지라면
2022-01-07,160,봉지라면
2022-01-07,1120,봉지라면
2022-01-07,4480,봉지라면
2022-01-07,40,봉지라면
2022-01-07,160,봉지라면
2022-01-08,40,봉지라면
2022-01-08,160,봉지라면
2022-01-10,80,봉지라면
2022-01-10,160,봉지라면
2022-01-12,40,봉지라면
2022-01-12,800,봉지라면
2022-01-12,40,봉지라면
2022-01-12,80,봉지라면
2022-01-12,80,봉지라면
2022-01-13,560,봉지라면
2022-01-13,560,봉지라면
2022-01-13,768,봉지라면
2022-01-13,160,봉지라면
2022-01-13,448,봉지라면
2022-01-14,80,봉지라면
2022-01-15,400,봉지라면
2022-01-15,40,봉지라면
2022-01-17,72,봉지라면
2022-01-18,896,봉지라면
2022-01-18,896,봉지라면
2022-01-18,40,봉지라면
2022-01-18,40,봉지라면
2022-01-18,160,봉지라면
2022-01-19,560,봉지라면
2022-01-19,100,봉지라면
2022-01-19,96,봉지라면
2022-01-19,240,봉지라면
2022-01-19,40,봉지라면
2022-01-19,336,봉지라면
2022-01-19,800,봉지라면
2022-01-19,40,봉지라면
2022-01-20,400,봉지라면
2022-01-21,80,봉지라면
2022-01-21,-3,봉지라면
2022-01-21,-2,봉지라면
2022-01-21,-41,봉지라면
2022-01-21,-11,봉지라면
2022-01-21,160,봉지라면
2022-01-21,480,봉지라면
2022-01-21,-1,봉지라면
2022-01-21,-8,봉지라면
2022-01-21,-4,봉지라면
2022-01-22,800,봉지라면
